Provider,Total_Inpatient_Claims,Total_Outpatient_Claims,Total_Claims,Unique_Beneficiaries,Avg_Inpatient_Reimbursement,Avg_Outpatient_Reimbursement,Total_Inpatient_Reimbursement,Total_Outpatient_Reimbursement,Avg_Claim_Duration,Avg_Length_of_Stay,Inpatient_Outpatient_Ratio,Number_of_States_Served,Number_of_Counties_Served,PotentialFraud
PRV51057,0.0,5.0,5.0,4,0.0,1366.0,0.0,6830.0,0.0,0.0,0.0,1,1,No
PRV51058,5.0,78.0,83.0,75,18200.0,205.51282051282053,91000.0,16030.0,7.4,7.4,0.0641025641025641,2,10,No
PRV51059,25.0,71.0,96.0,82,16040.0,282.53521126760563,401000.0,20060.0,6.88,6.88,0.352112676056338,1,17,Yes
PRV51060,5.0,37.0,42.0,42,7000.0,235.40540540540542,35000.0,8710.0,4.8,4.8,0.13513513513513514,2,15,No
PRV51061,1.0,144.0,145.0,67,3000.0,360.69444444444446,3000.0,51940.0,8.0,8.0,0.006944444444444444,2,5,No
PRV51062,3.0,394.0,397.0,166,15000.0,275.0761421319797,45000.0,108380.0,4.333333333333333,4.333333333333333,0.007614213197969543,1,12,No
PRV51063,0.0,149.0,149.0,115,0.0,343.02013422818794,0.0,51110.0,0.0,0.0,0.0,1,14,No
PRV51064,36.0,267.0,303.0,227,7777.777777777777,300.8239700374532,280000.0,80320.0,5.305555555555555,5.305555555555555,0.1348314606741573,4,39,Yes
PRV51065,10.0,18.0,28.0,26,7500.0,87.22222222222223,75000.0,1570.0,5.6,5.6,0.5555555555555556,1,6,No
PRV51066,2.0,22.0,24.0,21,9500.0,263.1818181818182,19000.0,5790.0,2.0,2.0,0.09090909090909091,1,5,No
PRV51067,12.0,46.0,58.0,49,27166.666666666668,185.2173913043478,326000.0,8520.0,6.583333333333333,6.583333333333333,0.2608695652173913,1,8,Yes
PRV51068,9.0,252.0,261.0,214,8555.555555555555,262.93650793650795,77000.0,66260.0,3.0,3.0,0.03571428571428571,2,15,No
PRV51070,10.0,89.0,99.0,69,10100.0,274.2696629213483,101000.0,24410.0,4.1,4.1,0.11235955056179775,5,20,No
PRV51071,0.0,24.0,24.0,24,0.0,356.25,0.0,8550.0,0.0,0.0,0.0,2,9,No
PRV51072,12.0,200.0,212.0,160,6000.0,235.85,72000.0,47170.0,4.25,4.25,0.06,3,23,No
PRV51074,5.0,34.0,39.0,39,6200.0,299.11764705882354,31000.0,10170.0,2.6,2.6,0.14705882352941177,5,14,No
PRV51075,0.0,17.0,17.0,13,0.0,502.94117647058823,0.0,8550.0,0.0,0.0,0.0,1,5,No
PRV51076,0.0,29.0,29.0,27,0.0,352.7586206896552,0.0,10230.0,0.0,0.0,0.0,1,7,No
PRV51077,16.0,17.0,33.0,30,12437.5,314.70588235294116,199000.0,5350.0,5.9375,5.9375,0.9411764705882353,1,4,Yes
PRV51078,9.0,14.0,23.0,23,8444.444444444445,162.14285714285714,76000.0,2270.0,6.666666666666667,6.666666666666667,0.6428571428571429,1,9,No
PRV51081,6.0,194.0,200.0,131,13166.666666666666,232.37113402061857,79000.0,45080.0,6.0,6.0,0.030927835051546393,2,7,No
PRV51082,0.0,34.0,34.0,31,0.0,160.88235294117646,0.0,5470.0,0.0,0.0,0.0,1,6,No
PRV51083,0.0,90.0,90.0,81,0.0,201.11111111111111,0.0,18100.0,0.0,0.0,0.0,3,15,No
PRV51084,20.0,90.0,110.0,85,9550.0,273.1111111111111,191000.0,24580.0,5.65,5.65,0.2222222222222222,2,17,Yes
PRV51086,31.0,108.0,139.0,115,13322.58064516129,307.1296296296296,413000.0,33170.0,4.838709677419355,4.838709677419355,0.28703703703703703,3,19,No
PRV51089,18.0,210.0,228.0,197,9833.333333333334,256.6666666666667,177000.0,53900.0,5.166666666666667,5.166666666666667,0.08571428571428572,5,41,No
PRV51090,0.0,7.0,7.0,7,0.0,832.8571428571429,0.0,5830.0,0.0,0.0,0.0,1,3,No
PRV51091,0.0,44.0,44.0,44,0.0,210.6818181818182,0.0,9270.0,0.0,0.0,0.0,2,14,No
PRV51093,2.0,7.0,9.0,9,5500.0,387.14285714285717,11000.0,2710.0,6.0,6.0,0.2857142857142857,2,4,No
PRV51096,0.0,5.0,5.0,5,0.0,640.0,0.0,3200.0,0.0,0.0,0.0,1,4,No
PRV51097,0.0,125.0,125.0,71,0.0,355.36,0.0,44420.0,0.0,0.0,0.0,1,8,No
PRV51098,0.0,4.0,4.0,4,0.0,75.0,0.0,300.0,0.0,0.0,0.0,1,2,No
PRV51100,5.0,0.0,5.0,5,15600.0,0.0,78000.0,0.0,6.0,6.0,5.0,1,2,No
PRV51101,3.0,0.0,3.0,3,5533.333333333333,0.0,16600.0,0.0,3.3333333333333335,3.3333333333333335,3.0,1,3,No
PRV51102,12.0,0.0,12.0,11,12333.333333333334,0.0,148000.0,0.0,4.0,4.0,12.0,1,2,No
PRV51103,0.0,6.0,6.0,4,0.0,73.33333333333333,0.0,440.0,0.0,0.0,0.0,1,1,Yes
PRV51104,0.0,12.0,12.0,9,0.0,158.33333333333334,0.0,1900.0,0.0,0.0,0.0,1,1,No
PRV51105,0.0,12.0,12.0,12,0.0,545.0,0.0,6540.0,0.0,0.0,0.0,1,1,No
PRV51108,19.0,0.0,19.0,19,8210.526315789473,0.0,156000.0,0.0,5.2631578947368425,5.2631578947368425,19.0,1,5,No
PRV51109,3.0,0.0,3.0,3,6000.0,0.0,18000.0,0.0,6.333333333333333,6.333333333333333,3.0,1,2,No
PRV51110,5.0,0.0,5.0,5,5400.0,0.0,27000.0,0.0,10.2,10.2,5.0,3,5,No
PRV51111,0.0,132.0,132.0,85,0.0,415.6060606060606,0.0,54860.0,0.0,0.0,0.0,1,4,No
PRV51112,0.0,304.0,304.0,195,0.0,346.2171052631579,0.0,105250.0,0.0,0.0,0.0,1,6,No
PRV51113,0.0,132.0,132.0,78,0.0,351.43939393939394,0.0,46390.0,0.0,0.0,0.0,1,4,No
PRV51114,0.0,262.0,262.0,160,0.0,292.82442748091603,0.0,76720.0,0.0,0.0,0.0,1,7,No
PRV51115,0.0,7.0,7.0,6,0.0,140.0,0.0,980.0,0.0,0.0,0.0,1,2,No
PRV51117,0.0,12.0,12.0,10,0.0,162.5,0.0,1950.0,0.0,0.0,0.0,2,5,No
PRV51118,16.0,0.0,16.0,16,8500.0,0.0,136000.0,0.0,4.25,4.25,16.0,1,5,No
PRV51119,94.0,1.0,95.0,81,10478.72340425532,95580.0,985000.0,95580.0,5.968085106382978,5.9787234042553195,94.0,1,10,Yes
PRV51120,7.0,0.0,7.0,7,7428.571428571428,0.0,52000.0,0.0,4.142857142857143,4.142857142857143,7.0,1,1,No
PRV51121,6.0,1.0,7.0,7,13500.0,80.0,81000.0,80.0,6.5,6.5,6.0,1,3,No
PRV51122,0.0,7.0,7.0,7,0.0,160.0,0.0,1120.0,0.0,0.0,0.0,1,3,No
PRV51123,2.0,29.0,31.0,28,4500.0,617.5862068965517,9000.0,17910.0,2.5,2.5,0.06896551724137931,4,11,No
PRV51125,12.0,36.0,48.0,32,9166.666666666666,591.9444444444445,110000.0,21310.0,4.333333333333333,4.333333333333333,0.3333333333333333,2,11,No
PRV51126,20.0,0.0,20.0,14,8850.0,0.0,177000.0,0.0,6.5,6.5,20.0,1,7,Yes
PRV51128,5.0,45.0,50.0,38,18000.0,271.55555555555554,90000.0,12220.0,6.4,6.4,0.1111111111111111,5,10,No
PRV51129,0.0,96.0,96.0,65,0.0,238.75,0.0,22920.0,0.0,0.0,0.0,9,19,No
PRV51130,0.0,7.0,7.0,7,0.0,710.0,0.0,4970.0,0.0,0.0,0.0,1,3,No
PRV51131,0.0,8.0,8.0,8,0.0,145.0,0.0,1160.0,0.0,0.0,0.0,2,3,No
PRV51132,1.0,7.0,8.0,6,4000.0,190.0,4000.0,1330.0,4.0,4.0,0.14285714285714285,2,4,No
PRV51134,0.0,15.0,15.0,12,0.0,507.3333333333333,0.0,7610.0,0.0,0.0,0.0,1,3,No
PRV51135,0.0,5.0,5.0,2,0.0,60.0,0.0,300.0,0.0,0.0,0.0,1,2,No
PRV51136,1.0,0.0,1.0,1,20000.0,0.0,20000.0,0.0,2.0,2.0,1.0,1,1,No
PRV51137,1.0,54.0,55.0,51,6000.0,186.11111111111111,6000.0,10050.0,7.0,7.0,0.018518518518518517,3,13,No
PRV51138,1.0,25.0,26.0,21,6000.0,297.2,6000.0,7430.0,1.0,1.0,0.04,3,5,No
PRV51139,7.0,36.0,43.0,42,5900.0,313.3333333333333,41300.0,11280.0,3.857142857142857,3.857142857142857,0.19444444444444445,9,17,No
PRV51140,47.0,440.0,487.0,394,6540.425531914893,331.20454545454544,307400.0,145730.0,6.0212765957446805,6.0212765957446805,0.10681818181818181,3,7,No
PRV51141,0.0,71.0,71.0,37,0.0,274.50704225352115,0.0,19490.0,0.0,0.0,0.0,6,10,No
PRV51142,7.0,44.0,51.0,38,13857.142857142857,172.04545454545453,97000.0,7570.0,7.428571428571429,7.428571428571429,0.1590909090909091,2,6,No
PRV51143,0.0,77.0,77.0,68,0.0,265.5844155844156,0.0,20450.0,0.0,0.0,0.0,10,17,No
PRV51144,4.0,26.0,30.0,29,13250.0,316.15384615384613,53000.0,8220.0,5.0,5.0,0.15384615384615385,3,10,No
PRV51145,161.0,41.0,202.0,161,9941.614906832297,140.2439024390244,1600600.0,5750.0,5.937888198757764,5.937888198757764,3.926829268292683,7,15,Yes
PRV51146,162.0,190.0,352.0,334,9988.888888888889,330.05263157894734,1618200.0,62710.0,5.049382716049383,5.049382716049383,0.8526315789473684,25,49,Yes
PRV51147,0.0,32.0,32.0,32,0.0,276.875,0.0,8860.0,0.0,0.0,0.0,5,11,No
PRV51148,34.0,296.0,330.0,263,11717.64705882353,304.93243243243245,398400.0,90260.0,4.029411764705882,4.029411764705882,0.11486486486486487,12,25,Yes
PRV51149,116.0,32.0,148.0,136,9594.827586206897,240.0,1113000.0,7680.0,5.612068965517241,5.612068965517241,3.625,5,14,Yes
PRV51151,22.0,211.0,233.0,225,6454.545454545455,281.042654028436,142000.0,59300.0,4.181818181818182,4.181818181818182,0.10426540284360189,21,47,No
PRV51152,0.0,83.0,83.0,39,0.0,310.48192771084337,0.0,25770.0,0.0,0.0,0.0,2,3,No
PRV51153,4.0,83.0,87.0,83,12750.0,246.86746987951807,51000.0,20490.0,8.75,8.75,0.04819277108433735,14,26,No
PRV51154,0.0,161.0,161.0,147,0.0,284.16149068322983,0.0,45750.0,0.0,0.0,0.0,4,11,No
PRV51155,0.0,115.0,115.0,110,0.0,228.95652173913044,0.0,26330.0,0.0,0.0,0.0,2,3,No
PRV51156,0.0,542.0,542.0,425,0.0,259.48339483394835,0.0,140640.0,0.0,0.0,0.0,2,9,No
PRV51159,65.0,504.0,569.0,506,9779.384615384615,321.68650793650795,635660.0,162130.0,5.630769230769231,5.630769230769231,0.12896825396825398,19,53,Yes
PRV51160,90.0,24.0,114.0,110,9622.222222222223,250.83333333333334,866000.0,6020.0,5.655555555555556,5.655555555555556,3.75,5,10,No
PRV51164,41.0,350.0,391.0,334,10804.878048780487,325.65714285714284,443000.0,113980.0,6.2926829268292686,6.2926829268292686,0.11714285714285715,5,13,No
PRV51165,26.0,72.0,98.0,97,11769.23076923077,329.1666666666667,306000.0,23700.0,6.576923076923077,6.576923076923077,0.3611111111111111,13,33,No
PRV51166,1.0,4.0,5.0,5,22000.0,717.5,22000.0,2870.0,16.0,16.0,0.25,2,4,No
PRV51167,0.0,190.0,190.0,182,0.0,273.57894736842104,0.0,51980.0,0.0,0.0,0.0,16,33,No
PRV51168,9.0,78.0,87.0,86,7000.0,223.97435897435898,63000.0,17470.0,5.222222222222222,5.222222222222222,0.11538461538461539,7,13,No
PRV51169,0.0,77.0,77.0,74,0.0,251.6883116883117,0.0,19380.0,0.0,0.0,0.0,17,31,No
PRV51170,8.0,8.0,16.0,16,18125.0,102.5,145000.0,820.0,6.25,6.25,1.0,4,9,Yes
PRV51171,0.0,59.0,59.0,59,0.0,234.23728813559322,0.0,13820.0,0.0,0.0,0.0,16,24,No
PRV51173,7.0,15.0,22.0,21,12857.142857142857,419.3333333333333,90000.0,6290.0,7.857142857142857,7.857142857142857,0.4666666666666667,4,10,Yes
PRV51175,0.0,41.0,41.0,39,0.0,235.3658536585366,0.0,9650.0,0.0,0.0,0.0,5,10,No
PRV51176,0.0,445.0,445.0,399,0.0,328.0449438202247,0.0,145980.0,0.0,0.0,0.0,29,54,No
PRV51178,34.0,31.0,65.0,64,12411.764705882353,296.1290322580645,422000.0,9180.0,7.970588235294118,7.970588235294118,1.096774193548387,6,12,Yes
PRV51179,0.0,26.0,26.0,26,0.0,192.30769230769232,0.0,5000.0,0.0,0.0,0.0,2,7,No
PRV51180,2.0,127.0,129.0,86,23500.0,371.9685039370079,47000.0,47240.0,1.5,1.5,0.015748031496062992,2,5,No
PRV51181,0.0,10.0,10.0,10,0.0,215.0,0.0,2150.0,0.0,0.0,0.0,2,3,No
PRV51183,41.0,72.0,113.0,105,8214.634146341463,263.75,336800.0,18990.0,4.658536585365853,4.658536585365853,0.5694444444444444,13,18,No
PRV51185,0.0,8.0,8.0,8,0.0,198.75,0.0,1590.0,0.0,0.0,0.0,1,2,No
PRV51186,0.0,2.0,2.0,2,0.0,50.0,0.0,100.0,0.0,0.0,0.0,1,2,No
PRV51189,0.0,56.0,56.0,51,0.0,156.07142857142858,0.0,8740.0,0.0,0.0,0.0,4,5,No
PRV51190,3.0,63.0,66.0,64,8000.0,243.015873015873,24000.0,15310.0,3.6666666666666665,3.6666666666666665,0.047619047619047616,5,13,No
PRV51191,0.0,32.0,32.0,30,0.0,343.4375,0.0,10990.0,0.0,0.0,0.0,6,11,No
PRV51194,2.0,7.0,9.0,9,9000.0,77.14285714285714,18000.0,540.0,3.0,3.0,0.2857142857142857,2,4,No
PRV51196,0.0,720.0,720.0,432,0.0,273.69444444444446,0.0,197060.0,0.0,0.0,0.0,1,4,No
PRV51198,0.0,6.0,6.0,3,0.0,60.0,0.0,360.0,0.0,0.0,0.0,2,2,No
PRV51200,0.0,19.0,19.0,16,0.0,232.6315789473684,0.0,4420.0,0.0,0.0,0.0,2,4,No
PRV51201,0.0,45.0,45.0,41,0.0,236.88888888888889,0.0,10660.0,0.0,0.0,0.0,5,9,No
PRV51202,0.0,12.0,12.0,12,0.0,417.5,0.0,5010.0,0.0,0.0,0.0,1,2,No
PRV51203,0.0,21.0,21.0,20,0.0,730.4761904761905,0.0,15340.0,0.0,0.0,0.0,1,4,No
PRV51204,0.0,499.0,499.0,398,0.0,310.9819639278557,0.0,155180.0,0.0,0.0,0.0,5,7,No
PRV51205,0.0,10.0,10.0,10,0.0,466.0,0.0,4660.0,0.0,0.0,0.0,2,5,No
PRV51206,0.0,10.0,10.0,10,0.0,156.0,0.0,1560.0,0.0,0.0,0.0,2,5,No
PRV51207,3.0,0.0,3.0,3,17000.0,0.0,51000.0,0.0,14.0,14.0,3.0,1,2,No
PRV51209,0.0,42.0,42.0,38,0.0,235.95238095238096,0.0,9910.0,0.0,0.0,0.0,1,2,No
PRV51210,0.0,9.0,9.0,9,0.0,321.1111111111111,0.0,2890.0,0.0,0.0,0.0,1,1,No
PRV51211,0.0,2.0,2.0,2,0.0,50.0,0.0,100.0,0.0,0.0,0.0,1,1,No
PRV51212,0.0,15.0,15.0,15,0.0,417.3333333333333,0.0,6260.0,0.0,0.0,0.0,1,1,No
PRV51213,0.0,2.0,2.0,2,0.0,25.0,0.0,50.0,0.0,0.0,0.0,1,1,No
PRV51214,0.0,8.0,8.0,8,0.0,400.0,0.0,3200.0,0.0,0.0,0.0,1,1,No
PRV51215,0.0,10.0,10.0,10,0.0,161.0,0.0,1610.0,0.0,0.0,0.0,1,1,No
PRV51216,0.0,71.0,71.0,66,0.0,219.1549295774648,0.0,15560.0,0.0,0.0,0.0,3,5,No
PRV51217,0.0,5.0,5.0,5,0.0,586.0,0.0,2930.0,0.0,0.0,0.0,1,1,No
PRV51218,0.0,7.0,7.0,7,0.0,74.28571428571429,0.0,520.0,0.0,0.0,0.0,1,1,No
PRV51219,0.0,8.0,8.0,8,0.0,666.25,0.0,5330.0,0.0,0.0,0.0,1,1,No
PRV51221,0.0,1.0,1.0,1,0.0,70.0,0.0,70.0,0.0,0.0,0.0,1,1,No
PRV51222,0.0,5.0,5.0,3,0.0,172.0,0.0,860.0,0.0,0.0,0.0,1,2,No
PRV51224,0.0,7.0,7.0,7,0.0,447.14285714285717,0.0,3130.0,0.0,0.0,0.0,1,1,No
PRV51225,0.0,8.0,8.0,8,0.0,148.75,0.0,1190.0,0.0,0.0,0.0,1,2,No
PRV51226,0.0,20.0,20.0,19,0.0,371.5,0.0,7430.0,0.0,0.0,0.0,1,1,No
PRV51228,0.0,5.0,5.0,5,0.0,86.0,0.0,430.0,0.0,0.0,0.0,1,1,No
PRV51229,0.0,47.0,47.0,44,0.0,264.0425531914894,0.0,12410.0,0.0,0.0,0.0,1,1,No
PRV51230,0.0,30.0,30.0,30,0.0,416.3333333333333,0.0,12490.0,0.0,0.0,0.0,2,3,No
PRV51231,2.0,0.0,2.0,2,8000.0,0.0,16000.0,0.0,9.5,9.5,2.0,1,1,No
PRV51232,1.0,0.0,1.0,1,26000.0,0.0,26000.0,0.0,9.0,9.0,1.0,1,1,No
PRV51233,3.0,0.0,3.0,3,9000.0,0.0,27000.0,0.0,4.333333333333333,4.333333333333333,3.0,1,3,No
PRV51234,5.0,0.0,5.0,5,5800.0,0.0,29000.0,0.0,8.2,8.2,5.0,1,2,No
PRV51235,2.0,0.0,2.0,2,5000.0,0.0,10000.0,0.0,2.5,2.5,2.0,1,1,No
PRV51236,1.0,0.0,1.0,1,12000.0,0.0,12000.0,0.0,1.0,1.0,1.0,1,1,No
PRV51237,1.0,0.0,1.0,1,19000.0,0.0,19000.0,0.0,1.0,1.0,1.0,1,1,No
PRV51238,8.0,0.0,8.0,8,16500.0,0.0,132000.0,0.0,13.625,13.625,8.0,1,3,No
PRV51239,1.0,0.0,1.0,1,5000.0,0.0,5000.0,0.0,3.0,3.0,1.0,1,1,No
PRV51240,11.0,49.0,60.0,38,7363.636363636364,265.7142857142857,81000.0,13020.0,5.545454545454546,5.545454545454546,0.22448979591836735,2,9,No
PRV51241,10.0,50.0,60.0,47,7800.0,244.2,78000.0,12210.0,6.8,6.8,0.2,5,13,No
PRV51242,11.0,100.0,111.0,87,8000.0,292.0,88000.0,29200.0,5.545454545454546,5.545454545454546,0.11,4,20,Yes
PRV51243,0.0,36.0,36.0,15,0.0,175.83333333333334,0.0,6330.0,0.0,0.0,0.0,2,6,No
PRV51244,200.0,1215.0,1415.0,659,8980.5,294.559670781893,1796100.0,357890.0,5.885,5.885,0.1646090534979424,3,57,Yes
PRV51245,4.0,169.0,173.0,58,5000.0,376.50887573964496,20000.0,63630.0,2.75,2.75,0.023668639053254437,3,7,No
PRV51247,10.0,24.0,34.0,26,7400.0,93.33333333333333,74000.0,2240.0,3.8,3.8,0.4166666666666667,1,7,No
PRV51248,1.0,1.0,2.0,2,23000.0,500.0,23000.0,500.0,6.0,6.0,1.0,1,2,No
PRV51249,51.0,75.0,126.0,101,9921.56862745098,204.4,506000.0,15330.0,7.215686274509804,7.294117647058823,0.68,4,19,Yes
PRV51250,0.0,85.0,85.0,71,0.0,265.4117647058824,0.0,22560.0,0.0,0.0,0.0,1,15,No
PRV51251,0.0,11.0,11.0,10,0.0,326.3636363636364,0.0,3590.0,0.0,0.0,0.0,2,10,No
PRV51252,18.0,69.0,87.0,76,7888.888888888889,187.3913043478261,142000.0,12930.0,4.111111111111111,4.111111111111111,0.2608695652173913,5,17,No
PRV51253,0.0,85.0,85.0,76,0.0,255.76470588235293,0.0,21740.0,0.0,0.0,0.0,6,17,No
PRV51255,2.0,72.0,74.0,62,5500.0,410.69444444444446,11000.0,29570.0,5.0,5.0,0.027777777777777776,2,11,No
PRV51256,0.0,95.0,95.0,80,0.0,405.7894736842105,0.0,38550.0,0.0,0.0,0.0,2,28,No
PRV51258,8.0,6.0,14.0,12,12250.0,276.6666666666667,98000.0,1660.0,4.5,4.5,1.3333333333333333,1,5,No
PRV51259,4.0,17.0,21.0,19,37500.0,115.29411764705883,150000.0,1960.0,6.25,6.25,0.23529411764705882,2,7,No
PRV51260,3.0,59.0,62.0,55,26000.0,243.89830508474577,78000.0,14390.0,8.666666666666666,8.666666666666666,0.05084745762711865,2,14,No
PRV51261,26.0,116.0,142.0,123,9423.076923076924,216.98275862068965,245000.0,25170.0,5.576923076923077,5.576923076923077,0.22413793103448276,6,26,No
PRV51262,0.0,60.0,60.0,52,0.0,271.1666666666667,0.0,16270.0,0.0,0.0,0.0,2,11,No
PRV51263,18.0,26.0,44.0,37,11666.666666666666,314.2307692307692,210000.0,8170.0,9.166666666666666,9.166666666666666,0.6923076923076923,1,7,Yes
PRV51264,0.0,39.0,39.0,35,0.0,135.12820512820514,0.0,5270.0,0.0,0.0,0.0,3,19,No
PRV51265,0.0,160.0,160.0,84,0.0,286.0625,0.0,45770.0,0.0,0.0,0.0,1,8,No
PRV51266,10.0,82.0,92.0,82,7830.0,300.0,78300.0,24600.0,6.9,6.9,0.12195121951219512,7,26,No
PRV51267,2.0,12.0,14.0,14,4500.0,322.5,9000.0,3870.0,3.0,3.0,0.16666666666666666,2,5,No
PRV51271,2.0,121.0,123.0,90,8500.0,216.36363636363637,17000.0,26180.0,4.0,4.0,0.01652892561983471,3,12,No
PRV51272,2.0,77.0,79.0,31,11000.0,373.5064935064935,22000.0,28760.0,3.0,3.0,0.025974025974025976,2,5,No
PRV51273,0.0,553.0,553.0,387,0.0,237.50452079566003,0.0,131340.0,0.0,0.0,0.0,12,62,No
PRV51274,10.0,48.0,58.0,48,16500.0,223.33333333333334,165000.0,10720.0,3.6,3.6,0.20833333333333334,1,19,No
PRV51276,14.0,53.0,67.0,60,8285.714285714286,339.24528301886795,116000.0,17980.0,4.357142857142857,4.357142857142857,0.2641509433962264,4,20,No
