Provider,Total_Inpatient_Claims,Total_Outpatient_Claims,Total_Claims,Unique_Beneficiaries,Avg_Inpatient_Reimbursement,Avg_Outpatient_Reimbursement,Total_Inpatient_Reimbursement,Total_Outpatient_Reimbursement,Avg_Claim_Duration,Avg_Length_of_Stay,Inpatient_Outpatient_Ratio,Number_of_States_Served,Number_of_Counties_Served,AveragePatientAge,PercentageMalePatients,PercentageFemalePatients,AveragePartACoverage,AveragePartBCoverage,AlzheimerPatientPercentage,HeartFailurePatientPercentage,KidneyDiseasePatientPercentage,CancerPatientPercentage,COPDPatientPercentage,DepressionPatientPercentage,DiabetesPatientPercentage,IschemicHeartDiseasePercentage,OsteoporosisPatientPercentage,RheumatoidArthritisPatientPercentage,StrokePatientPercentage,AverageAnnualInpatientReimbursement,AverageAnnualOutpatientReimbursement,AverageAnnualInpatientDeductible,AverageAnnualOutpatientDeductible,AverageDeductiblePaidPerClaim,NumberOfUniqueDiagnosisCodes,NumberOfUniqueProcedureCodes,NumberOfUniqueAttendingPhysicians,NumberOfUniqueOperatingPhysicians,NumberOfUniqueOtherPhysicians,PotentialFraud
PRV51024,9.0,30.0,39.0,38,6777.777777777777,101.66666666666667,61000.0,3050.0,4.333333333333333,4.333333333333333,0.3,2,10,67.78947368421052,44.73684210526316,55.26315789473685,12.0,12.0,36.84210526315789,55.26315789473685,60.526315789473685,13.157894736842104,34.21052631578947,42.10526315789473,76.31578947368422,76.31578947368422,28.947368421052634,36.84210526315789,15.789473684210526,4686.8421052631575,1993.9473684210527,646.421052631579,661.3157894736842,248.76923076923077,112.0,7.0,13,5.0,8.0,No
PRV51025,13.0,74.0,87.0,76,6615.384615384615,437.1621621621622,86000.0,32350.0,7.0,7.0,0.17567567567567569,2,13,73.26315789473684,47.368421052631575,52.63157894736842,12.0,12.0,31.57894736842105,52.63157894736842,46.05263157894737,13.157894736842104,30.263157894736842,47.368421052631575,69.73684210526315,71.05263157894737,35.526315789473685,27.631578947368425,7.894736842105263,3968.2894736842104,2224.342105263158,491.8421052631579,630.1315789473684,164.183908045977,222.0,11.0,35,15.0,20.0,No
PRV51026,0.0,76.0,76.0,56,0.0,261.05263157894734,0.0,19840.0,0.0,0.0,0.0,3,9,69.10714285714286,46.42857142857143,53.57142857142857,11.785714285714286,12.0,42.857142857142854,44.642857142857146,39.285714285714285,16.071428571428573,21.428571428571427,46.42857142857143,71.42857142857143,62.5,25.0,26.785714285714285,8.928571428571429,4057.6785714285716,1787.857142857143,492.2142857142857,625.3571428571429,4.473684210526316,142.0,0.0,29,10.0,18.0,No
PRV51027,0.0,53.0,53.0,44,0.0,563.0188679245283,0.0,29840.0,0.0,0.0,0.0,2,5,71.88636363636364,47.72727272727273,52.27272727272727,11.727272727272727,11.954545454545455,43.18181818181818,65.9090909090909,47.72727272727273,13.636363636363635,31.818181818181817,50.0,75.0,81.81818181818183,20.454545454545457,22.727272727272727,13.636363636363635,4899.318181818182,3208.8636363636365,582.5454545454545,821.1363636363636,0.0,106.0,0.0,10,6.0,5.0,No
PRV51029,0.0,93.0,93.0,79,0.0,329.6774193548387,0.0,30660.0,0.0,0.0,0.0,6,17,71.0,43.037974683544306,56.9620253164557,11.69620253164557,11.974683544303797,34.177215189873415,46.835443037974684,31.645569620253166,10.126582278481013,27.848101265822784,30.37974683544304,64.55696202531645,70.88607594936708,20.253164556962027,29.11392405063291,11.39240506329114,3116.4556962025317,1668.4810126582279,362.43037974683546,485.0632911392405,1.7204301075268817,202.0,0.0,38,10.0,17.0,No
PRV51030,82.0,89.0,171.0,145,8604.878048780487,383.82022471910113,705600.0,34160.0,4.621951219512195,4.621951219512195,0.9213483146067416,2,14,71.41379310344827,41.37931034482759,58.620689655172406,11.917241379310346,11.668965517241379,42.06896551724138,63.44827586206897,46.206896551724135,18.620689655172416,36.55172413793103,40.0,72.41379310344827,80.0,26.89655172413793,34.48275862068966,8.96551724137931,6787.310344827586,2338.0,888.4137931034483,626.6206896551724,510.2823529411765,465.0,48.0,46,12.0,23.0,No
PRV51031,28.0,157.0,185.0,157,11750.0,195.6687898089172,329000.0,30720.0,5.535714285714286,5.535714285714286,0.17834394904458598,4,29,72.63057324840764,39.490445859872615,60.509554140127385,11.92356687898089,11.968152866242038,47.13375796178344,66.87898089171973,46.496815286624205,12.101910828025478,36.94267515923567,44.5859872611465,68.15286624203821,80.2547770700637,42.675159235668794,28.662420382165603,8.280254777070063,5933.4394904458595,1870.1910828025477,603.4394904458599,588.7898089171974,163.48108108108107,384.0,23.0,60,16.0,28.0,No
PRV51032,0.0,23.0,23.0,21,0.0,235.65217391304347,0.0,5420.0,0.0,0.0,0.0,3,5,70.66666666666667,38.095238095238095,61.904761904761905,11.428571428571429,12.0,38.095238095238095,61.904761904761905,42.857142857142854,23.809523809523807,38.095238095238095,47.61904761904761,71.42857142857143,76.19047619047619,19.047619047619047,23.809523809523807,14.285714285714285,8060.952380952381,1400.0,1153.5238095238096,396.1904761904762,2.1739130434782608,47.0,0.0,10,4.0,8.0,No
PRV51035,1.0,29.0,30.0,25,29000.0,122.75862068965517,29000.0,3560.0,14.0,14.0,0.034482758620689655,2,8,74.76,36.0,64.0,12.0,11.64,28.000000000000004,56.00000000000001,56.00000000000001,12.0,32.0,56.00000000000001,72.0,76.0,32.0,24.0,20.0,3342.4,1382.4,341.76,447.6,47.6,59.0,1.0,18,7.0,8.0,No
PRV51036,0.0,278.0,278.0,131,0.0,269.3525179856115,0.0,74880.0,0.0,0.0,0.0,1,7,71.7557251908397,43.51145038167939,56.48854961832062,11.893129770992367,11.572519083969466,30.53435114503817,51.908396946564885,38.16793893129771,12.977099236641221,25.954198473282442,36.6412213740458,63.358778625954194,67.93893129770993,32.06106870229007,20.610687022900763,7.633587786259542,4890.839694656489,1415.1145038167938,516.0610687022901,370.4580152671756,5.071942446043166,463.0,0.0,5,3.0,4.0,No
PRV51037,23.0,431.0,454.0,206,9304.347826086956,297.51740139211137,214000.0,128230.0,4.521739130434782,4.565217391304348,0.05336426914153132,1,7,71.62135922330097,45.14563106796117,54.85436893203883,11.941747572815533,11.849514563106796,35.43689320388349,55.8252427184466,39.80582524271845,13.106796116504855,25.728155339805824,37.86407766990291,62.13592233009708,73.30097087378641,33.49514563106796,29.126213592233007,8.737864077669903,3398.3980582524273,1440.6796116504854,498.8932038834951,395.873786407767,56.220264317180614,690.0,12.0,3,3.0,1.0,Yes
PRV51038,30.0,111.0,141.0,107,7653.333333333333,323.3333333333333,229600.0,35890.0,4.033333333333333,4.033333333333333,0.2702702702702703,3,15,71.04672897196262,37.38317757009346,62.616822429906534,11.88785046728972,11.91588785046729,47.66355140186916,59.813084112149525,43.925233644859816,16.822429906542055,28.971962616822427,41.1214953271028,73.83177570093457,75.70093457943925,33.64485981308411,34.57943925233645,11.214953271028037,5329.719626168225,1824.392523364486,618.8411214953271,508.97196261682245,222.8,323.0,14.0,44,16.0,22.0,No
PRV51040,9.0,77.0,86.0,69,7000.0,148.96103896103895,63000.0,11470.0,10.555555555555555,10.555555555555555,0.11688311688311688,2,10,71.1304347826087,47.82608695652174,52.17391304347826,11.73913043478261,12.0,37.68115942028986,56.52173913043478,34.78260869565217,8.695652173913043,26.08695652173913,44.927536231884055,69.56521739130434,75.36231884057972,21.73913043478261,23.18840579710145,10.144927536231885,7824.927536231884,2255.217391304348,530.6086956521739,570.5797101449275,103.34117647058824,206.0,7.0,15,8.0,11.0,No
PRV51041,0.0,34.0,34.0,31,0.0,217.94117647058823,0.0,7410.0,0.0,0.0,0.0,1,6,70.12903225806451,45.16129032258064,54.83870967741935,12.0,12.0,51.61290322580645,48.38709677419355,22.58064516129032,22.58064516129032,25.806451612903224,41.935483870967744,64.51612903225806,70.96774193548387,22.58064516129032,25.806451612903224,6.451612903225806,1506.4516129032259,2292.2580645161293,275.61290322580646,666.7741935483871,7.9411764705882355,76.0,0.0,9,4.0,5.0,No
PRV51042,0.0,142.0,142.0,128,0.0,338.38028169014086,0.0,48050.0,0.0,0.0,0.0,9,28,73.1015625,46.09375,53.90625,12.0,11.8125,34.375,51.5625,38.28125,14.0625,26.5625,39.84375,60.15625,74.21875,23.4375,25.78125,8.59375,4862.109375,2450.15625,483.9375,669.53125,2.183098591549296,258.0,0.0,52,27.0,27.0,No
PRV51043,0.0,23.0,23.0,20,0.0,194.7826086956522,0.0,4480.0,0.0,0.0,0.0,2,4,72.85,45.0,55.00000000000001,12.0,12.0,35.0,65.0,35.0,15.0,35.0,35.0,80.0,70.0,45.0,25.0,0.0,2987.5,1670.0,373.8,597.5,0.0,42.0,0.0,6,2.0,4.0,No
PRV51044,0.0,59.0,59.0,39,0.0,361.52542372881356,0.0,21330.0,0.0,0.0,0.0,1,5,69.87179487179488,51.28205128205128,48.717948717948715,12.0,12.0,33.33333333333333,56.41025641025641,43.58974358974359,10.256410256410255,28.205128205128204,30.76923076923077,58.97435897435898,79.48717948717949,35.8974358974359,38.46153846153847,7.6923076923076925,2498.974358974359,2469.74358974359,281.53846153846155,836.6666666666666,2.2033898305084745,118.0,0.0,1,1.0,1.0,No
PRV51045,0.0,31.0,31.0,29,0.0,270.64516129032256,0.0,8390.0,0.0,0.0,0.0,3,9,71.51724137931035,37.93103448275862,62.06896551724138,12.0,12.0,48.275862068965516,51.724137931034484,44.827586206896555,10.344827586206897,44.827586206896555,37.93103448275862,72.41379310344827,72.41379310344827,20.689655172413794,17.24137931034483,6.896551724137931,3965.1724137931033,2008.2758620689656,478.7586206896552,518.6206896551724,1.2903225806451613,71.0,0.0,16,4.0,8.0,No
PRV51046,8.0,30.0,38.0,26,12625.0,279.0,101000.0,8370.0,4.5,4.5,0.26666666666666666,1,6,71.15384615384616,34.61538461538461,65.38461538461539,11.538461538461538,11.538461538461538,34.61538461538461,50.0,34.61538461538461,26.923076923076923,30.76923076923077,46.15384615384615,80.76923076923077,88.46153846153845,26.923076923076923,34.61538461538461,11.538461538461538,7563.846153846154,2120.3846153846152,739.3846153846154,604.6153846153846,227.47368421052633,111.0,5.0,6,2.0,4.0,No
PRV51047,0.0,11.0,11.0,11,0.0,230.0,0.0,2530.0,0.0,0.0,0.0,2,6,70.72727272727273,54.54545454545454,45.45454545454545,12.0,12.0,27.27272727272727,54.54545454545454,36.36363636363637,0.0,36.36363636363637,36.36363636363637,63.63636363636363,63.63636363636363,27.27272727272727,36.36363636363637,9.090909090909092,4106.363636363636,1662.7272727272727,661.0909090909091,692.7272727272727,0.0,22.0,0.0,10,1.0,5.0,No
PRV51048,4.0,34.0,38.0,33,4750.0,255.88235294117646,19000.0,8700.0,4.75,4.75,0.11764705882352941,1,9,71.33333333333333,39.39393939393939,60.60606060606061,11.636363636363637,12.0,57.57575757575758,60.60606060606061,39.39393939393939,12.121212121212121,36.36363636363637,48.484848484848484,84.84848484848484,81.81818181818183,21.21212121212121,45.45454545454545,3.0303030303030303,4500.0,2199.6969696969695,453.09090909090907,581.2121212121212,114.52631578947368,97.0,3.0,15,7.0,8.0,No
PRV51049,0.0,71.0,71.0,65,0.0,305.9154929577465,0.0,21720.0,0.0,0.0,0.0,4,21,70.13846153846154,44.61538461538462,55.38461538461539,11.63076923076923,11.815384615384616,43.07692307692308,60.0,36.92307692307693,15.384615384615385,43.07692307692308,43.07692307692308,66.15384615384615,60.0,32.30769230769231,30.76923076923077,10.76923076923077,2365.5384615384614,3096.769230769231,497.84615384615387,946.3076923076923,2.676056338028169,147.0,0.0,35,11.0,21.0,No
PRV51052,2.0,44.0,46.0,37,7000.0,381.8181818181818,14000.0,16800.0,9.0,9.0,0.045454545454545456,1,7,70.29729729729729,45.94594594594595,54.054054054054056,11.675675675675675,12.0,29.72972972972973,62.16216216216216,40.54054054054054,10.81081081081081,29.72972972972973,40.54054054054054,59.45945945945946,70.27027027027027,29.72972972972973,27.027027027027028,13.513513513513514,2969.189189189189,1958.6486486486488,432.97297297297297,444.05405405405406,51.0,116.0,1.0,17,5.0,6.0,Yes
PRV51053,1.0,0.0,1.0,1,8000.0,0.0,8000.0,0.0,5.0,5.0,1.0,1,1,68.0,100.0,0.0,12.0,12.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,8000.0,90.0,1068.0,0.0,1068.0,9.0,1.0,1,1.0,1.0,No
PRV51054,0.0,57.0,57.0,40,0.0,265.43859649122805,0.0,15130.0,0.0,0.0,0.0,1,4,70.525,40.0,60.0,11.7,11.925,32.5,50.0,45.0,5.0,32.5,47.5,52.5,57.49999999999999,12.5,15.0,7.5,2650.0,2127.25,240.3,816.0,2.456140350877193,124.0,0.0,3,2.0,2.0,No
PRV51055,2.0,20.0,22.0,22,8350.0,247.0,16700.0,4940.0,5.5,5.5,0.1,1,8,68.77272727272727,45.45454545454545,54.54545454545454,12.0,12.0,45.45454545454545,68.18181818181817,36.36363636363637,18.181818181818183,36.36363636363637,59.09090909090909,50.0,77.27272727272727,31.818181818181817,31.818181818181817,13.636363636363635,5162.272727272727,1344.090909090909,436.90909090909093,502.27272727272725,100.27272727272727,72.0,2.0,6,3.0,3.0,No
PRV51056,2.0,20.0,22.0,21,4000.0,335.0,8000.0,6700.0,3.0,3.0,0.1,1,6,76.57142857142857,42.857142857142854,57.14285714285714,12.0,12.0,42.857142857142854,57.14285714285714,71.42857142857143,19.047619047619047,28.57142857142857,52.38095238095239,90.47619047619048,80.95238095238095,52.38095238095239,28.57142857142857,19.047619047619047,6648.0952380952385,3413.3333333333335,966.2857142857143,986.6666666666666,97.54545454545455,61.0,2.0,5,3.0,4.0,No
PRV51057,0.0,5.0,5.0,4,0.0,1366.0,0.0,6830.0,0.0,0.0,0.0,1,1,78.5,50.0,50.0,12.0,12.0,0.0,75.0,25.0,25.0,25.0,0.0,25.0,100.0,0.0,25.0,0.0,15000.0,3370.0,534.0,747.5,0.0,20.0,0.0,1,1.0,1.0,No
PRV51058,5.0,78.0,83.0,75,18200.0,205.51282051282053,91000.0,16030.0,7.4,7.4,0.0641025641025641,2,10,73.24,46.666666666666664,53.333333333333336,12.0,12.0,38.666666666666664,53.333333333333336,40.0,12.0,29.333333333333332,46.666666666666664,72.0,78.66666666666666,34.66666666666667,32.0,10.666666666666668,4820.133333333333,1940.2666666666667,652.32,595.0666666666667,66.74698795180723,200.0,5.0,31,11.0,17.0,No
PRV51059,25.0,71.0,96.0,82,16040.0,282.53521126760563,401000.0,20060.0,6.88,6.88,0.352112676056338,1,17,73.53658536585365,29.268292682926827,70.73170731707317,11.414634146341463,11.573170731707316,31.70731707317073,62.19512195121951,37.80487804878049,10.975609756097562,25.609756097560975,39.02439024390244,62.19512195121951,67.07317073170732,29.268292682926827,28.04878048780488,8.536585365853659,10835.975609756097,1778.0487804878048,877.3658536585366,356.9512195121951,280.625,266.0,22.0,30,15.0,17.0,Yes
PRV51060,5.0,37.0,42.0,42,7000.0,235.40540540540542,35000.0,8710.0,4.8,4.8,0.13513513513513514,2,15,71.54761904761905,52.38095238095239,47.61904761904761,11.428571428571429,11.785714285714286,38.095238095238095,59.523809523809526,45.23809523809524,14.285714285714285,38.095238095238095,47.61904761904761,78.57142857142857,71.42857142857143,19.047619047619047,30.952380952380953,9.523809523809524,3784.285714285714,1463.5714285714287,584.8571428571429,562.8571428571429,127.14285714285714,116.0,0.0,28,5.0,8.0,No
PRV51061,1.0,144.0,145.0,67,3000.0,360.69444444444446,3000.0,51940.0,8.0,8.0,0.006944444444444444,2,5,74.40298507462687,35.82089552238806,64.17910447761194,11.940298507462687,12.0,29.850746268656714,46.26865671641791,41.7910447761194,11.940298507462686,26.865671641791046,38.80597014925373,70.1492537313433,70.1492537313433,28.35820895522388,29.850746268656714,10.44776119402985,4675.522388059701,2525.9701492537315,541.9701492537314,720.7462686567164,9.158620689655173,260.0,2.0,6,4.0,5.0,No
PRV51062,3.0,394.0,397.0,166,15000.0,275.0761421319797,45000.0,108380.0,4.333333333333333,4.333333333333333,0.007614213197969543,1,12,71.78915662650603,39.1566265060241,60.8433734939759,11.927710843373495,11.789156626506024,33.734939759036145,54.81927710843374,39.75903614457831,14.457831325301203,22.89156626506024,36.144578313253014,69.27710843373494,66.86746987951807,32.53012048192771,21.084337349397593,8.433734939759036,4204.096385542169,1917.6506024096386,405.32530120481925,560.0602409638554,9.934508816120907,634.0,5.0,6,4.0,1.0,No
PRV51063,0.0,149.0,149.0,115,0.0,343.02013422818794,0.0,51110.0,0.0,0.0,0.0,1,14,69.23478260869565,42.608695652173914,57.391304347826086,11.895652173913044,12.0,41.73913043478261,62.60869565217392,41.73913043478261,15.65217391304348,27.82608695652174,42.608695652173914,68.69565217391305,76.52173913043478,25.217391304347824,30.434782608695656,9.565217391304348,3849.304347826087,2977.391304347826,315.75652173913045,608.1304347826087,1.0738255033557047,286.0,0.0,3,3.0,0.0,No
PRV51064,36.0,267.0,303.0,227,7777.777777777777,300.8239700374532,280000.0,80320.0,5.305555555555555,5.305555555555555,0.1348314606741573,4,39,72.7533039647577,44.93392070484582,55.06607929515418,11.841409691629956,11.92511013215859,35.68281938325991,60.792951541850215,42.731277533039645,11.45374449339207,33.92070484581498,44.93392070484582,71.36563876651982,78.41409691629956,32.158590308370044,29.074889867841406,12.334801762114537,5236.1233480176215,2001.9823788546255,630.6607929515418,543.6123348017621,128.54125412541254,573.0,20.0,111,46.0,65.0,Yes
PRV51065,10.0,18.0,28.0,26,7500.0,87.22222222222223,75000.0,1570.0,5.6,5.6,0.5555555555555556,1,6,75.57692307692308,42.30769230769231,57.692307692307686,11.538461538461538,12.0,42.30769230769231,69.23076923076923,34.61538461538461,3.8461538461538463,34.61538461538461,57.692307692307686,73.07692307692307,80.76923076923077,23.076923076923077,19.230769230769234,23.076923076923077,6088.076923076923,1683.4615384615386,775.2307692307693,557.6923076923077,360.0740740740741,108.0,9.0,9,4.0,4.0,No
PRV51066,2.0,22.0,24.0,21,9500.0,263.1818181818182,19000.0,5790.0,2.0,2.0,0.09090909090909091,1,5,68.57142857142857,33.33333333333333,66.66666666666666,12.0,12.0,47.61904761904761,57.14285714285714,28.57142857142857,9.523809523809524,23.809523809523807,23.809523809523807,52.38095238095239,71.42857142857143,28.57142857142857,28.57142857142857,9.523809523809524,5714.285714285715,1204.7619047619048,505.3333333333333,547.1428571428571,93.16666666666667,70.0,2.0,7,5.0,6.0,No
PRV51067,12.0,46.0,58.0,49,27166.666666666668,185.2173913043478,326000.0,8520.0,6.583333333333333,6.583333333333333,0.2608695652173913,1,8,67.85714285714286,30.612244897959183,69.38775510204081,11.510204081632653,11.489795918367347,26.53061224489796,61.224489795918366,42.857142857142854,16.3265306122449,22.448979591836736,53.06122448979592,65.3061224489796,71.42857142857143,32.6530612244898,26.53061224489796,4.081632653061225,11150.204081632653,1770.204081632653,719.265306122449,362.0408163265306,225.79310344827587,173.0,11.0,21,5.0,14.0,Yes
PRV51068,9.0,252.0,261.0,214,8555.555555555555,262.93650793650795,77000.0,66260.0,3.0,3.0,0.03571428571428571,2,15,70.01401869158879,40.654205607476634,59.345794392523366,11.94392523364486,11.88785046728972,36.44859813084112,55.140186915887845,37.850467289719624,14.485981308411214,26.635514018691588,39.719626168224295,69.1588785046729,69.1588785046729,28.504672897196258,27.570093457943923,10.74766355140187,2744.7196261682243,1724.4392523364486,406.05607476635515,517.8411214953271,34.55384615384615,495.0,3.0,79,35.0,45.0,No
